filename;formulation;lb;ub;time
i-20-4-125-17-8-e-2.cssp;A;0;1.00E+20;1800
i-20-4-125-17-8-e-2.cssp;Ad;7;1.00E+20;1800
i-20-4-125-17-8-e-2.cssp;P;0;9;740.58
i-20-4-125-17-8-e-2.cssp;Pd;7;8;1800
i-20-4-125-17-8-e-3.cssp;A;0;12;1800
i-20-4-125-17-8-e-3.cssp;Ad;7;12;1800
i-20-4-125-17-8-e-3.cssp;P;0;9;769.96
i-20-4-125-17-8-e-3.cssp;Pd;7;8;1800
i-20-4-125-17-8-e-4.cssp;A;0;12;1800
i-20-4-125-17-8-e-4.cssp;Ad;7;12;1800
i-20-4-125-17-8-e-4.cssp;P;0;9;642.9
i-20-4-125-17-8-e-4.cssp;Pd;7;8;1800
i-20-4-125-18-8-l-0.cssp;A;0;13;1800
i-20-4-125-18-8-l-0.cssp;Ad;7;1.00E+20;1800
i-20-4-125-18-8-l-0.cssp;P;0;10;819.14
i-20-4-125-18-8-l-0.cssp;Pd;8;8;401.4
i-20-4-125-18-8-l-1.cssp;A;0;1.00E+20;1800
i-20-4-125-18-8-l-1.cssp;Ad;7;1.00E+20;1800
i-20-4-125-18-8-l-1.cssp;P;0;10;801.66
i-20-4-125-18-8-l-1.cssp;Pd;8;8;248.14
i-20-4-125-18-8-l-2.cssp;A;0;1.00E+20;1800
i-20-4-125-18-8-l-2.cssp;Ad;7;1.00E+20;1800
i-20-4-125-18-8-l-2.cssp;P;0;10;771.92
i-20-4-125-18-8-l-2.cssp;Pd;8;8;472.9
i-20-4-125-18-8-l-3.cssp;A;0;1.00E+20;1800
i-20-4-125-18-8-l-3.cssp;Ad;7;1.00E+20;1800
i-20-4-125-18-8-l-3.cssp;P;0;10;872.24
i-20-4-125-18-8-l-3.cssp;Pd;8;8;1063.86
i-20-4-125-18-8-l-4.cssp;A;0;1.00E+20;1800
i-20-4-125-18-8-l-4.cssp;Ad;7;1.00E+20;1800
i-20-4-125-18-8-l-4.cssp;P;0;10;745.46
i-20-4-125-18-8-l-4.cssp;Pd;8;8;766.36
i-20-4-150-8-3-e-0.cssp;A;0;5;1800
i-20-4-150-8-3-e-0.cssp;Ad;3;6;1800
i-20-4-150-8-3-e-0.cssp;P;0;4;852.88
i-20-4-150-8-3-e-0.cssp;Pd;3;3;1101.76
i-20-4-150-8-3-e-1.cssp;A;0;4;1800
i-20-4-150-8-3-e-1.cssp;Ad;3;4;1800
i-20-4-150-8-3-e-1.cssp;P;0;4;861.94
i-20-4-150-8-3-e-1.cssp;Pd;3;3;209.96
i-20-4-150-8-3-e-2.cssp;A;0;5;1800
i-20-4-150-8-3-e-2.cssp;Ad;3;4;1800
i-20-4-150-8-3-e-2.cssp;P;0;4;720.46
i-20-4-150-8-3-e-2.cssp;Pd;3;4;1800
i-20-4-150-8-3-e-3.cssp;A;0;4;1800
i-20-4-150-8-3-e-3.cssp;Ad;3;6;1800
i-20-4-150-8-3-e-3.cssp;P;0;4;840.34
i-20-4-150-8-3-e-3.cssp;Pd;3;4;1800
i-20-4-150-8-3-e-4.cssp;A;0;5;1800
i-20-4-150-8-3-e-4.cssp;Ad;3;6;1800
i-20-4-150-8-3-e-4.cssp;P;0;4;819.5
i-20-4-150-8-3-e-4.cssp;Pd;3;3;648.9
i-20-4-150-9-3-l-0.cssp;A;0;8;1800
i-20-4-150-9-3-l-0.cssp;Ad;3;6;1800
i-20-4-150-9-3-l-0.cssp;P;0;5;576.52
i-20-4-150-9-3-l-0.cssp;Pd;3;3;177.28
i-20-4-150-9-3-l-1.cssp;A;0;6;1800
i-20-4-150-9-3-l-1.cssp;Ad;3;6;1800
i-20-4-150-9-3-l-1.cssp;P;0;4;1213.9
i-20-4-150-9-3-l-1.cssp;Pd;3;3;78.6
i-20-4-150-9-3-l-2.cssp;A;0;6;1800
i-20-4-150-9-3-l-2.cssp;Ad;3;6;1800
i-20-4-150-9-3-l-2.cssp;P;0;5;491.7
i-20-4-150-9-3-l-2.cssp;Pd;3;3;140.32
i-20-4-150-9-3-l-3.cssp;A;0;7;1800
i-20-4-150-9-3-l-3.cssp;Ad;3;4;1800
i-20-4-150-9-3-l-3.cssp;P;0;5;520.7
i-20-4-150-9-3-l-3.cssp;Pd;3;3;81.58
i-20-4-150-9-3-l-4.cssp;A;0;5;1800
i-20-4-150-9-3-l-4.cssp;Ad;3;6;1800
i-20-4-150-9-3-l-4.cssp;P;0;4;1216.18
i-20-4-150-9-3-l-4.cssp;Pd;3;3;247.4
i-20-4-50-20-10-e-0.cssp;A;5;14;1800
i-20-4-50-20-10-e-0.cssp;Ad;8;11;1800
i-20-4-50-20-10-e-0.cssp;P;10;10;132.72
i-20-4-50-20-10-e-0.cssp;Pd;10;10;103.78
i-20-4-50-20-10-e-1.cssp;A;5;12;1800
i-20-4-50-20-10-e-1.cssp;Ad;8;13;1800
i-20-4-50-20-10-e-1.cssp;P;10;10;107.02
i-20-4-50-20-10-e-1.cssp;Pd;10;10;59.86
i-20-4-50-20-10-e-2.cssp;A;5;11;1800
i-20-4-50-20-10-e-2.cssp;Ad;8;13;1800
i-20-4-50-20-10-e-2.cssp;P;10;10;116.98
i-20-4-50-20-10-e-2.cssp;Pd;10;10;78.54
i-20-4-50-20-10-e-3.cssp;A;5;12;1800
i-20-4-50-20-10-e-3.cssp;Ad;8;11;1800
i-20-4-50-20-10-e-3.cssp;P;10;10;111.36
i-20-4-50-20-10-e-3.cssp;Pd;10;10;82.7
i-20-4-50-20-10-e-4.cssp;A;5;13;1800
i-20-4-50-20-10-e-4.cssp;Ad;8;14;1800
i-20-4-50-20-10-e-4.cssp;P;10;10;94.32
i-20-4-50-20-10-e-4.cssp;Pd;10;10;74.2
i-20-4-50-21-10-l-0.cssp;A;5;14;1800
i-20-4-50-21-10-l-0.cssp;Ad;9;11;1800
i-20-4-50-21-10-l-0.cssp;P;10;10;211.38
i-20-4-50-21-10-l-0.cssp;Pd;10;10;51.64
i-20-4-50-21-10-l-1.cssp;A;5;11;1800
i-20-4-50-21-10-l-1.cssp;Ad;8;13;1800
i-20-4-50-21-10-l-1.cssp;P;10;10;98.12
i-20-4-50-21-10-l-1.cssp;Pd;10;10;22.18
i-20-4-50-21-10-l-2.cssp;A;5;12;1800
i-20-4-50-21-10-l-2.cssp;Ad;9;13;1800
i-20-4-50-21-10-l-2.cssp;P;10;10;52.78
i-20-4-50-21-10-l-2.cssp;Pd;10;10;47.62
i-20-4-50-21-10-l-3.cssp;A;6;13;1800
i-20-4-50-21-10-l-3.cssp;Ad;9;13;1800
i-20-4-50-21-10-l-3.cssp;P;10;10;119.96
i-20-4-50-21-10-l-3.cssp;Pd;10;10;48.16
i-20-4-50-21-10-l-4.cssp;A;6;13;1800
i-20-4-50-21-10-l-4.cssp;Ad;8;13;1800
i-20-4-50-21-10-l-4.cssp;P;10;10;37.68
i-20-4-50-21-10-l-4.cssp;Pd;10;10;35.22
i-20-4-75-13-6-e-0.cssp;A;2;8;1800
i-20-4-75-13-6-e-0.cssp;Ad;5;1.00E+20;1800
i-20-4-75-13-6-e-0.cssp;P;6;6;547.5
i-20-4-75-13-6-e-0.cssp;Pd;6;6;51.6
i-20-4-75-13-6-e-1.cssp;A;2;9;1800
i-20-4-75-13-6-e-1.cssp;Ad;5;9;1800
i-20-4-75-13-6-e-1.cssp;P;6;6;500.88
i-20-4-75-13-6-e-1.cssp;Pd;6;6;136.16
i-20-4-75-13-6-e-2.cssp;A;1;7;1800
i-20-4-75-13-6-e-2.cssp;Ad;5;8;1800
i-20-4-75-13-6-e-2.cssp;P;6;6;917.74
i-20-4-75-13-6-e-2.cssp;Pd;6;6;316.84
i-20-4-75-13-6-e-3.cssp;A;1;9;1800
i-20-4-75-13-6-e-3.cssp;Ad;5;9;1800
i-20-4-75-13-6-e-3.cssp;P;6;6;795.7
i-20-4-75-13-6-e-3.cssp;Pd;6;6;370.98
i-20-4-75-13-6-e-4.cssp;A;2;6;1800
i-20-4-75-13-6-e-4.cssp;Ad;5;8;1800
i-20-4-75-13-6-e-4.cssp;P;6;6;637.64
i-20-4-75-13-6-e-4.cssp;Pd;6;6;246.36
i-20-4-75-14-6-l-0.cssp;A;2;9;1800
i-20-4-75-14-6-l-0.cssp;Ad;6;9;1800
i-20-4-75-14-6-l-0.cssp;P;6;6;717
i-20-4-75-14-6-l-0.cssp;Pd;6;6;85.96
i-20-4-75-14-6-l-1.cssp;A;1;8;1800
i-20-4-75-14-6-l-1.cssp;Ad;5;9;1800
i-20-4-75-14-6-l-1.cssp;P;6;6;445.72
i-20-4-75-14-6-l-1.cssp;Pd;6;6;2.36
i-20-4-75-14-6-l-2.cssp;A;1;8;1800
i-20-4-75-14-6-l-2.cssp;Ad;6;9;1800
i-20-4-75-14-6-l-2.cssp;P;3;8;876.7
i-20-4-75-14-6-l-2.cssp;Pd;6;6;38.18
i-20-4-75-14-6-l-3.cssp;A;1;6;1800
i-20-4-75-14-6-l-3.cssp;Ad;5;9;1800
i-20-4-75-14-6-l-3.cssp;P;6;6;214.12
i-20-4-75-14-6-l-3.cssp;Pd;6;6;8.08
i-20-4-75-14-6-l-4.cssp;A;1;9;1800
i-20-4-75-14-6-l-4.cssp;Ad;5;9;1800
i-20-4-75-14-6-l-4.cssp;P;6;6;319.06
i-20-4-75-14-6-l-4.cssp;Pd;6;6;10.54
i-20-8-100-18-11-e-0.cssp;A;1;1.00E+20;1800
i-20-8-100-18-11-e-0.cssp;Ad;8;1.00E+20;1800
i-20-8-100-18-11-e-0.cssp;P;0;13;923.96
i-20-8-100-18-11-e-0.cssp;Pd;8;13;867.74
i-20-8-100-18-11-e-1.cssp;A;1;1.00E+20;1800
i-20-8-100-18-11-e-1.cssp;Ad;8;1.00E+20;1800
i-20-8-100-18-11-e-1.cssp;P;0;13;901.64
i-20-8-100-18-11-e-1.cssp;Pd;8;13;936.98
i-20-8-100-18-11-e-2.cssp;A;0;1.00E+20;1800
i-20-8-100-18-11-e-2.cssp;Ad;8;1.00E+20;1800
i-20-8-100-18-11-e-2.cssp;P;0;13;947.5
i-20-8-100-18-11-e-2.cssp;Pd;8;13;851.96
i-20-8-100-18-11-e-3.cssp;A;1;1.00E+20;1800
i-20-8-100-18-11-e-3.cssp;Ad;8;1.00E+20;1800
i-20-8-100-18-11-e-3.cssp;P;0;13;912.66
i-20-8-100-18-11-e-3.cssp;Pd;8;13;1034.14
i-20-8-100-18-11-e-4.cssp;A;0;1.00E+20;1800
i-20-8-100-18-11-e-4.cssp;Ad;7;1.00E+20;1800
i-20-8-100-18-11-e-4.cssp;P;0;13;967.5
i-20-8-100-18-11-e-4.cssp;Pd;8;13;854.9
i-20-8-100-19-11-l-0.cssp;A;1;1.00E+20;1800
i-20-8-100-19-11-l-0.cssp;Ad;8;1.00E+20;1800
i-20-8-100-19-11-l-0.cssp;P;0;14;938.58
i-20-8-100-19-11-l-0.cssp;Pd;8;14;1192
i-20-8-100-19-11-l-1.cssp;A;1;1.00E+20;1800
i-20-8-100-19-11-l-1.cssp;Ad;8;1.00E+20;1800
i-20-8-100-19-11-l-1.cssp;P;0;14;828.52
i-20-8-100-19-11-l-1.cssp;Pd;8;14;950.46
i-20-8-100-19-11-l-2.cssp;A;1;1.00E+20;1800
i-20-8-100-19-11-l-2.cssp;Ad;8;1.00E+20;1800
i-20-8-100-19-11-l-2.cssp;P;0;14;850
i-20-8-100-19-11-l-2.cssp;Pd;8;14;1149.06
i-20-8-100-19-11-l-3.cssp;A;1;1.00E+20;1800
i-20-8-100-19-11-l-3.cssp;Ad;8;1.00E+20;1800
i-20-8-100-19-11-l-3.cssp;P;0;14;916.62
i-20-8-100-19-11-l-3.cssp;Pd;8;14;1189.26
i-20-8-100-19-11-l-4.cssp;A;0;1.00E+20;1800
i-20-8-100-19-11-l-4.cssp;Ad;8;1.00E+20;1800
i-20-8-100-19-11-l-4.cssp;P;0;14;911.46
i-20-8-100-19-11-l-4.cssp;Pd;8;13;1800
i-20-8-109-18-11-e-0.cssp;A;1;1.00E+20;1800
i-20-8-109-18-11-e-0.cssp;Ad;8;1.00E+20;1800
i-20-8-109-18-11-e-0.cssp;P;0;13;849.26
i-20-8-109-18-11-e-0.cssp;Pd;8;13;712.12
i-20-8-109-18-11-e-1.cssp;A;0;1.00E+20;1800
i-20-8-109-18-11-e-1.cssp;Ad;8;1.00E+20;1800
i-20-8-109-18-11-e-1.cssp;P;0;13;766.36
i-20-8-109-18-11-e-1.cssp;Pd;8;13;888.5
