filename;lb;ub;time
Hufsky-30-350-3.csp;39;39;0.02
Hufsky-30-350-30.csp;39;39;0.02
Hufsky-30-350-31.csp;39;39;0.02
Hufsky-30-350-32.csp;33;33;0.02
Hufsky-30-350-33.csp;38;38;0
Hufsky-30-350-34.csp;35;35;0
Hufsky-30-350-35.csp;39;39;0.02
Hufsky-30-350-36.csp;30;30;0.02
Hufsky-30-350-37.csp;39;39;0.02
Hufsky-30-350-38.csp;36;36;0.02
Hufsky-30-350-39.csp;40;40;0
Hufsky-30-350-4.csp;37;37;0
Hufsky-30-350-40.csp;40;40;0.02
Hufsky-30-350-41.csp;39;39;0.02
Hufsky-30-350-42.csp;40;40;0.02
Hufsky-30-350-43.csp;37;37;0.02
Hufsky-30-350-44.csp;37;37;0.02
Hufsky-30-350-5.csp;31;31;0.02
Hufsky-30-350-6.csp;40;40;0.02
Hufsky-30-350-7.csp;34;34;0.02
Hufsky-30-350-8.csp;39;39;0.02
Hufsky-30-350-9.csp;33;33;0.02
Hufsky-30-400-0.csp;42;42;0.02
Hufsky-30-400-1.csp;39;39;0.02
Hufsky-30-400-10.csp;48;48;0.02
Hufsky-30-400-11.csp;40;40;0.02
Hufsky-30-400-12.csp;43;43;0.02
Hufsky-30-400-13.csp;47;47;0.2
Hufsky-30-400-14.csp;40;40;0.02
Hufsky-30-400-15.csp;40;40;0.02
Hufsky-30-400-16.csp;40;40;0.02
Hufsky-30-400-17.csp;40;40;0.02
Hufsky-30-400-18.csp;39;39;0.02
Hufsky-30-400-19.csp;42;42;0.02
Hufsky-30-400-2.csp;37;37;0.02
Hufsky-30-400-20.csp;48;48;0.02
Hufsky-30-400-21.csp;41;41;0.02
Hufsky-30-400-22.csp;36;36;0.02
Hufsky-30-400-23.csp;32;32;0
Hufsky-30-400-24.csp;36;36;0.02
Hufsky-30-400-25.csp;44;44;0.02
Hufsky-30-400-26.csp;46;46;0.02
Hufsky-30-400-27.csp;40;40;0.02
Hufsky-30-400-28.csp;40;40;0.02
Hufsky-30-400-29.csp;46;46;0.02
Hufsky-30-400-3.csp;47;47;0.02
Hufsky-30-400-30.csp;40;40;0.02
Hufsky-30-400-31.csp;43;43;0.02
Hufsky-30-400-32.csp;39;39;0.02
Hufsky-30-400-33.csp;48;48;0.02
Hufsky-30-400-34.csp;40;40;0.02
Hufsky-30-400-35.csp;44;44;0.02
Hufsky-30-400-36.csp;42;42;0.02
Hufsky-30-400-37.csp;41;41;0.02
Hufsky-30-400-38.csp;44;44;0.02
Hufsky-30-400-39.csp;41;41;0.02
Hufsky-30-400-4.csp;39;39;0.02
Hufsky-30-400-40.csp;41;41;0.02
Hufsky-30-400-5.csp;39;39;0.02
Hufsky-30-400-6.csp;43;43;0.02
Hufsky-30-400-7.csp;39;39;0.02
Hufsky-30-400-8.csp;43;43;0.02
Hufsky-30-400-9.csp;39;39;0.02
Hufsky-30-450-0.csp;50;50;0.02
Hufsky-30-450-1.csp;42;42;0.02
Hufsky-30-450-10.csp;50;50;0.06
Hufsky-30-450-11.csp;45;45;0.02
Hufsky-30-450-12.csp;52;52;0.02
Hufsky-30-450-13.csp;51;51;0.14
Hufsky-30-450-14.csp;48;48;0.02
Hufsky-30-450-15.csp;41;41;0.02
Hufsky-30-450-16.csp;45;45;0.02
Hufsky-30-450-17.csp;46;46;0.02
Hufsky-30-450-18.csp;44;44;0.02
Hufsky-30-450-19.csp;50;50;0.02
Hufsky-30-450-2.csp;41;41;0.02
Hufsky-30-450-20.csp;52;52;0.02
Hufsky-30-450-21.csp;42;42;0.04
Hufsky-30-450-22.csp;36;36;0.02
Hufsky-30-450-23.csp;41;41;0.04
Hufsky-30-450-24.csp;53;53;0.02
Hufsky-30-450-25.csp;46;46;0.02
Hufsky-30-450-26.csp;40;40;0.02
Hufsky-30-450-27.csp;48;48;0.02
Hufsky-30-450-28.csp;43;43;0.02
Hufsky-30-450-29.csp;48;48;0.02
Hufsky-30-450-3.csp;49;49;0.02
Hufsky-30-450-30.csp;43;43;0.02
Hufsky-30-450-31.csp;48;48;0.02
Hufsky-30-450-32.csp;45;45;0.02
Hufsky-30-450-33.csp;51;51;0.02
Hufsky-30-450-34.csp;52;52;0.02
